step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
20,0.04000000189989805,0.19525361061096191,2.446481683904267e-09,1.7621181314098067e-07,123.44466400146484,1.4078857871191452e-11,-1.1450276282687355e-09,-20.179534912109375,14232.48780352819
21,0.042000001994892955,0.20099687576293945,2.929275044749602e-09,1.9815473706330522e-07,123.40245056152344,-5.942674824455096e-11,5.503291600206239e-09,-20.335796356201172,13220.402220851327
22,0.04400000208988786,0.2065424919128418,3.440187690273433e-09,2.2048007508601586e-07,123.3599853515625,-1.0484901835638993e-10,8.035465626221594e-09,-20.42936134338379,12337.815817880875
23,0.04600000218488276,0.21173095703125,3.975957341140202e-09,2.430882943826873e-07,123.31739044189453,-1.5996819147101604e-10,2.0168979375512208e-08,-20.46253776550293,11563.48635857774
24,0.04800000227987766,0.2176511287689209,4.53228299335251e-09,2.6586661761029973e-07,123.27478790283203,-1.2761425249863123e-10,6.483467984708113e-09,-20.437448501586914,10880.496884949387
25,0.050000002374872565,0.24132585525512695,5.1050137450658895e-09,2.8875410862383433e-07,123.23229217529297,-6.483884956720587e-11,8.981227317406137e-09,-20.356807708740234,10275.125171060123
26,0.05200000246986747,0.2467057704925537,5.691362048310111e-09,3.1166564440354705e-07,123.19001770019531,-1.7342285940635804e-10,1.885490430453274e-09,-20.221832275390625,9736.238367470565
27,0.05400000256486237,0.2524991035461426,6.28891516640806e-09,3.345355992223631e-07,123.14806365966797,-8.588613847893001e-11,7.123207357295769e-09,-20.035306930541992,9254.555118712382
28,0.05600000265985727,0.2582368850708008,6.8955325893682584e-09,3.57310852905357e-07,123.10653686523438,-3.669357595548206e-10,3.643815560394614e-08,-19.797847747802734,8822.52136473575
29,0.058000002754852176,0.26434755325317383,7.509451727116812e-09,3.799096361944976e-07,123.0655288696289,-1.2928946802048813e-10,8.267610596135455e-09,-19.511425018310547,8433.725422033467
30,0.06000000284984708,0.270205020904541,8.128782980065807e-09,4.022711550533131e-07,123.025146484375,-1.3332726589432298e-10,7.372451982234907e-09,-19.176448822021484,8082.955289088652
31,0.06200000294484198,0.2753481864929199,8.750240532151565e-09,4.2432026248206967e-07,122.9854736328125,-1.3307098478687607e-10,9.977570769592603e-09,-18.79500961303711,7765.646419350455
32,0.06400000303983688,0.28083086013793945,9.36904243076242e-09,4.4600653836823767e-07,122.94661712646484,-1.4612538956626508e-10,8.668061823868811e-09,-18.36717414855957,7478.121885791139
33,0.06600000313483179,0.304584264755249,9.98086591152969e-09,4.6731466341043415e-07,122.90866088867188,-1.749900224723433e-10,9.765948050244333e-09,-17.895267486572266,7217.098547674174
34,0.06800000322982669,0.30945777893066406,1.0583292464616534e-08,4.882016924057098e-07,122.87168884277344,-1.7787706030336636e-10,1.0214943557684819e-08,-17.380512237548828,6979.786776680057
35,0.07000000332482159,0.3143951892852783,1.1174205560848804e-08,5.086729970571469e-07,122.83578491210938,-1.8442521121375677e-10,1.1130429911077044e-08,-16.823822021484375,6763.805420759854
36,0.0720000034198165,0.3193175792694092,1.1752301354306383e-08,5.287021735966846e-07,122.80104064941406,-1.7457596479530935e-10,1.3502065243642392e-08,-16.226064682006836,6567.156056079062
37,0.0740000035148114,0.3242669105529785,1.2315839903465076e-08,5.482703500092612e-07,122.76753234863281,-1.6407267211526744e-10,1.631071810948015e-08,-15.589789390563965,6388.038452939862
38,0.0760000036098063,0.3295726776123047,1.2864379783650293e-08,5.673402370121039e-07,122.7353286743164,-1.6732754071213662e-10,1.5879139780849982e-08,-14.916607856750488,6224.867055171288
39,0.0780000037048012,0.33443164825439453,1.3396307174673439e-08,5.859054112988815e-07,122.70451354980469,-2.1564353080982812e-10,1.6019603421568718e-08,-14.208020210266113,6076.34951089268
40,0.0800000037997961,0.33906006813049316,1.390822479407916e-08,6.039723530193442e-07,122.67514038085938,-2.598990744839824e-10,1.7361228898948866e-08,-13.466838836669922,5941.232173179776
41,0.08200000389479101,0.35987091064453125,1.4396860592569283e-08,6.21508320364228e-07,122.64728546142578,-2.422954892278284e-10,1.5161145228148598e-08,-12.694718360900879,5818.535406614665
42,0.08400000398978591,0.3645970821380615,1.4858405172901712e-08,6.385001256603573e-07,122.6209945678711,-2.7529536983372793e-10,1.4227278910539098e-08,-11.89448070526123,5707.288018420395
43,0.08600000408478081,0.3700582981109619,1.5289963073428225e-08,6.549380486831069e-07,122.5963363647461,-2.993569836462484e-10,1.848398945014651e-08,-11.067866325378418,5606.747022625323
44,0.08800000417977571,0.37604379653930664,1.5689066046320477e-08,6.70854660711484e-07,122.57335662841797,-2.304570978495235e-10,2.411869814977763e-08,-10.218226432800293,5516.187109540485
45,0.09000000427477062,0.38065052032470703,1.605469179821739e-08,6.862339319013699e-07,122.55209350585938,-2.483523942053978e-10,2.4073491644571732e-08,-9.348184585571289,5434.959559561675
46,0.09200000436976552,0.38539838790893555,1.6384424483817384e-08,7.010527269812883e-07,122.53258514404297,-2.875839288929427e-10,2.260389564412435e-08,-8.460188865661621,5362.511565349307
47,0.09400000446476042,0.3907618522644043,1.6676132474913175e-08,7.153199703680002e-07,122.51487731933594,-3.3780966912644317e-10,2.2958172252174336e-08,-7.555692195892334,5298.402505356848
48,0.09600000455975533,0.39542102813720703,1.6929774915297457e-08,7.290361736522755e-07,122.49898529052734,-3.594351483116043e-10,2.604826399021931e-08,-6.635868072509766,5242.158602027244
49,0.09800000465475023,0.4149782657623291,1.7145589836786712e-08,7.4220054102625e-07,122.48495483398438,-2.95219793056134e-10,2.589505676553472e-08,-5.699151515960693,5193.486292447972
50,0.10000000474974513,0.4205949306488037,1.7322880907499894e-08,7.547811833319429e-07,122.47281646728516,-3.525553182726071e-10,2.737573190358944e-08,-4.740418434143066,5152.101133443856
51,0.10200000484474003,0.42537355422973633,1.745881128556448e-08,7.667640034014767e-07,122.4627456665039,-2.9971738979561735e-10,2.7876353669853415e-08,-3.692005157470703,5118.262567358454
52,0.10400000493973494,0.43044614791870117,1.755056366903318e-08,7.781570730003295e-07,122.45487976074219,-3.812812288117584e-10,2.2892503892535387e-08,-2.57344651222229,5092.140192467625
53,0.10600000503472984,0.435591459274292,1.7595223056332543e-08,7.889476592026767e-07,122.44933319091797,-4.682532139810291e-10,2.4350329752564903e-08,-1.4034068584442139,5073.879971391225
54,0.10800000512972474,0.44008326530456543,1.7589767864478745e-08,7.991826009856595e-07,122.4461898803711,-4.413583387652409e-10,2.7050559125996188e-08,-0.19842398166656494,5063.589696131373
55,0.11000000522471964,0.4447007179260254,1.7533496432520224e-08,8.088488243629399e-07,122.44549560546875,-3.5572861323274196e-10,3.199473397330621e-08,1.0261244773864746,5061.322469223275
56,0.11200000531971455,0.4494132995605469,1.7425513476609922e-08,8.179048336387496e-07,122.447265625,-4.876963832778358e-10,3.5595387970488446e-08,2.257150173187256,5067.106666798026
57,0.11400000541470945,0.47568488121032715,1.726270326685153e-08,8.263922381956945e-07,122.45150756835938,-5.168639960473342e-10,2.3646768099183646e-08,3.4845948219299316,5081.022751296617
58,0.11600000550970435,0.48186326026916504,1.7042413702483827e-08,8.34289721751702e-07,122.45819854736328,-4.883360382734736e-10,3.5448543656002585e-08,4.698197364807129,5103.129169085146
59,0.11800000560469925,0.48719310760498047,1.676147576290532e-08,8.415530032834795e-07,122.46730041503906,-5.55739398944155e-10,2.6299527888795637e-08,5.8897199630737305,5133.511607944905
60,0.12000000569969416,0.4923734664916992,1.6415645731626682e-08,8.482320481562056e-07,122.478759765625,-5.150736503978237e-10,3.004436521791831e-08,7.052547931671143,5172.281780790234
