time,x,y,z,vx,vy,vz
0.0,-0.029292480353248482,0.3091426679256194,-1.4827209344020242,0.011928088365174202,0.006845443724444059,-0.001695732802008183
0.01,-0.028963103829066868,0.3090894738132311,-1.4827537374833297,0.05401556917271334,-0.01761016292246973,-0.00483393382683985
0.02,-0.028237949836109055,0.30880578326468955,-1.4828158922947843,0.0910855988209133,-0.039250878727165574,-0.007555995101256304
0.03,-0.027166337992317345,0.30831933114645127,-1.482903063282335,0.12330878049182682,-0.05815916923993051,-0.009830893835005752
0.04,-0.025795572211893627,0.30765689625947146,-1.4830107365566123,0.15091769784082468,-0.07444389603021655,-0.011653283317584365
0.05,-0.02417041752070418,0.3068440716624797,-1.483134447220155,0.17418759595336422,-0.08823345569103791,-0.013037627828447787
0.06,-0.022332748077449577,0.3059050962905137,-1.4832699505847515,0.193421453103769,-0.0996703791720554,-0.014012878531779177
0.07,-0.020321327830196058,0.3048627353297448,-1.483413343422921,0.2089383780602657,-0.10890697963396777,-0.014617822508966028
0.08,-0.018171694334133858,0.30373820021560477,-1.4835611422939223,0.22106457850015704,-0.11610177925023085,-0.014897156446321294
0.09,-0.015916122799606067,0.3025511013536506,-1.4837103262051436,0.2301263458716891,-0.12141653784003527,-0.014898280808565261
0.1,-0.013583652301949958,0.30131942813886925,-1.4838583506320953,0.236444638438699,-0.125013764995823,-0.01466877355332136
0.11,-0.011200159779560435,0.30005955184669103,-1.4840031393890354,0.2403309414382442,-0.12705463435616376,-0.014254479871275995
0.12,-0.008788470299535632,0.29878624766676737,-1.4841430601401882,0.24208415454882065,-0.12769724167303398,-0.013698142351050033
0.13,-0.00636849430112851,0.29751273266137535,-1.4842768885583846,0.24198831009277177,-0.12709516275556096,-0.013038491469222143
0.14,-0.003957384290779472,0.2962507168239347,-1.4844037653377957,0.24031096569984192,-0.12539627640654286,-0.012309717119405364
0.15,-0.0015697048708517717,0.295010464732961,-1.4845231494943145,0.23730214595114332,-0.12274182321888076,-0.011541246273538495
0.16,0.0007823888798669599,0.2938008655692793,-1.4846347706697967,0.233193731253559,-0.11926567483806359,-0.010757758482453288
0.17,0.003088968730647061,0.29262950950551275,-1.4847385825119583,0.2281992106451332,-0.11509379083607654,-0.009979378774871393
0.18,0.005342149624438665,0.2915027686961372,-1.4848347186388045,0.22251372972017855,-0.11034384219884744,-0.009221995872089005
0.19,0.007535907670099023,0.2904258812990304,-1.484923452217339,0.21631437636780046,-0.10512498190708984,-0.008497661973894286
0.2,0.009665901939748025,0.28940303714829724,-1.4850051597888614,0.2097606562678487,-0.09953774437513373,-0.007815038326414852
0.21,0.011729301766755736,0.288437463874613,-1.4850802896522994,0.20299511762455763,-0.0936740567068634,-0.0071798581168309355
0.22,0.013724620865645366,0.28753151243402536,-1.4851493348657803,0.19614409084031043,-0.08761734588658215,-0.006595384812030454
0.23,0.01565155927811688,0.2866867411592605,-1.4852128107370146,0.18931851403521063,-0.08144272718114251,-0.006062849800625317
0.24,0.017510853880362852,0.2859039975890881,-1.4852712365366385,0.18261481971996787,-0.07521726018770612,-0.0055818580958494225
0.25,0.01930413795864956,0.2851834974612734,-1.4853251210770984,0.1761158616906701,-0.06900026010969187,-0.0051507549353259135
0.26,0.021033810166960917,0.28452490037317835,-1.4853749517450208,0.16989186445365098,-0.06284365297973322,-0.004766949424418307
0.27,0.022702913017580997,0.2839273817213612,-1.4854211865499276,0.1640013802963389,-0.05679236465938532,-0.004427193981535639
0.28,0.024315020918841815,0.28338970062788105,-1.485464248750047,0.1584922415637881,-0.05088473451980834,-0.004127820334805434
0.29,0.025874137660507668,0.2829102636468394,-1.4855045236310298,0.15340249783338913,-0.04515294573597625,-0.0038649342723633875
0.3,0.027384603153504217,0.28248718412050644,-1.485542357040638,0.14876132954395377,-0.03962346510132203,-0.0036345723451711265
0.31,0.02885100915440466,0.2821183371207367,-1.485578055317756,0.14458993126404052,-0.034317486184458686,-0.0034328243403101847
0.32,0.03027812364404727,0.28180140996890896,-1.4856118862939953,0.14090235920634964,-0.029251370501085908,-0.0032559256570337705
0.33,0.03167082348192912,0.2815339483769571,-1.4856440810879827,0.13770633883429212,-0.024437082160614434,-0.00310032379342272
0.34,0.033034034921875524,0.28131339829385693,-1.4856748364540666,0.13500402948421328,-0.019882612168213323,-0.0029627230465240017
