time,x,y,z,vx,vy,vz
0.0,-0.028075228828370533,0.20456533569511692,-1.4874714413206327,-0.00831699467321049,-0.000794304858404746,-0.0004693868861057257
0.01,-0.028192378376824822,0.20455359729172706,-1.4874293360408022,-0.006688752330068267,0.0003547292191541274,-0.0013023022061245545
0.02,-0.028350017755554888,0.20454045902047419,-1.4873897058094863,-0.005871742976884789,0.0014428856839924131,-0.0020238577311259926
0.03,-0.02853990739953899,0.2045261583285306,-1.4873526033080209,-0.0058254633712363675,0.002469727453777601,-0.002640228138933098
0.04,-0.028754014114175358,0.20451091920234946,-1.4873180899312988,-0.006499568095627257,0.00343505235623596,-0.0031583114596270816
0.05,-0.028984621251535624,0.20449495382707533,-1.487286232398505,-0.007836715930770295,0.004338938145800247,-0.0035854118080464576
0.06,-0.02922441025759994,0.204478463486312,-1.4872570994151215,-0.009774923843932644,0.005181752683293173,-0.0039289675357927056
0.07,-0.029466518427437933,0.20446163904427972,-1.4872307584384106,-0.012249498387195419,0.0059641433307517115,-0.004196368317559004
0.08,-0.02970457700157957,0.2044446612107626,-1.4872072726499947,-0.015194598570902846,0.006687015771102979,-0.004394865535503734
0.09,-0.02993273313793565,0.20442770070485966,-1.4871866981959576,-0.01854450617297811,0.007351505336156187,-0.004531472842975897
0.1,-0.030145658752699783,0.2044109184159445,-1.4871690817370018,-0.022234639844102587,0.007958944887643222,-0.004612907233695564
0.11,-0.03033854877344568,0.20439446561402685,-1.4871544583697873,-0.026202349693420154,0.008510833737468316,-0.0046455622413533485
0.12,-0.030507110971327002,0.20437848422265703,-1.4871428499651975,-0.03038752690051178,0.009008808376265602,-0.0046355190325895745
0.13,-0.03064754920404012,0.20436310715792905,-1.4871342639171967,-0.03473306164596656,0.00945461452139046,-0.004588484737597593
0.14,-0.03075654161596734,0.20434845873464796,-1.4871286923037652,-0.039185169705282824,0.00985008278608597,-0.0045098247425568935
0.15,-0.030831215097477875,0.20433465513833243,-1.4871261114629473,-0.04369361299100241,0.01019710682254795,-0.004404562169916405
0.16,-0.030869117094157298,0.20432180494789978,-1.4871264819838388,-0.048211826233756305,0.010497623216916779,-0.004277448136854724
0.17,-0.03086818566205522,0.20431000971139368,-1.4871297490861142,-0.05269696785395763,0.010753597444235003,-0.004132874779956993
0.18,-0.03082671856473784,0.20429936458866005,-1.4871358430019748,-0.0571099626960214,0.01096701383530371,-0.003974477956259854
0.19,-0.030743342045002682,0.20428995900391594,-1.4871446795512537,-0.061415426234623836,0.0111398562771961,-0.0038056303248224285
0.2,-0.03061697971856095,0.20428187727766284,-1.4871561612902742,-0.0655815511926997,0.01127409773783869,-0.003629587388525297
0.21,-0.03044682200575108,0.20427519926971405,-1.4871701789831056,-0.0695799962751596,0.011371692835555128,-0.003449476172717297
0.22,-0.030232296449220562,0.20427000103520737,-1.4871866131855431,-0.07338573514171276,0.01143457230272811,-0.003268212574352034
0.23,-0.029973039178237293,0.20426635548625974,-1.4872053358243154,-0.07697689678070642,0.011464638040113797,-0.003088433943015373
0.24,-0.0296688677231283,0.2042643330479288,-1.4872262117442754,-0.08033459396311429,0.01146375874051776,-0.0029124541135546857
0.25,-0.029319755323445093,0.20426400229943675,-1.4872491002066897,-0.08344274204420633,0.011433766122049485,-0.0027422458424240567
0.26,-0.028925806833939374,0.20426543059150104,-1.487273856324637,-0.08628787678854838,0.011376451328752554,-0.0025794339946091293
0.27,-0.02848723628554141,0.20426868464066084,-1.4873003324460181,-0.08885895379614898,0.011293563485387605,-0.00242534094639652
0.28,-0.028004346126651068,0.20427383109951597,-1.4873283794801477,-0.09114716252373598,0.011186807567101923,-0.0022810071859796005
0.29,-0.027477508151626157,0.2042809370970997,-1.4873578481434646,-0.09314573951205846,0.011057843200076394,-0.0021472220983751785
0.3,-0.026907146096788067,0.20429007075133646,-1.4873885901203288,-0.09484978493273175,0.010908284132351898,-0.00202455619853104
0.31,-0.026293719869749245,0.20430130165436083,-1.4874204591304758,-0.09625608495492775,0.010739698200664696,-0.0019133907341173512
0.32,-0.02563771136473478,0.20431470133109741,-1.487453311894976,-0.09736294196028529,0.01055360646052459,-0.0018139444048901974
0.33,-0.024939611798181178,0.20433034368378175,-1.487487008996654,-0.09817001238114921,0.010351483880336555,-0.0017263004670099447
0.34,-0.024199910504546566,0.2043483054102749,-1.487521415627785,-0.09867814952985347,0.010134762807571798,-0.0016504164313600575
0.35000000000000003,-0.023419085134236337,0.20436866637170034,-1.487556402223339,-0.098889259071208,0.009904834026930822,-0.0015861472391931492
0.36,-0.02259759316098823,0.20439150993503052,-1.4875918449862073,-0.098806163591979,0.009663046727633951,-0.0015332605802960762
0.37,-0.02173586460954113,0.20441692330367744,-1.487627626307534,-0.09843247612905143,0.009410708968440953,-0.0014914505243742078
0.38,-0.020834295923336278,0.2044449978325295,-1.4876636350874943,-0.09777248242417368,0.00914908906855224,-0.0014603497956595423
0.39,-0.019893244893599355,0.20447582931937242,-1.4876997669628853,-0.09683103130483692,0.008879418762424858,-0.0014395409347468923
