time,x,y,z,vx,vy,vz
0.0,0.4950572698902729,-0.2319770958202721,-1.4465356913213483,-0.0158656123284159,-0.0023643520527672837,0.0021154388690824218
0.01,0.49502186188232755,-0.23196952221565392,-1.4464777679364285,-0.029501193953563765,-0.0048621750479116675,0.0004926617885253164
0.02,0.4950993322499867,-0.23192645846199123,-1.4463919915446892,-0.04197040816927456,-0.0070883704085125876,-0.0010105238086225744
0.03,0.4952779744036486,-0.23185109040109597,-1.4462809779716248,-0.05329797456578452,-0.009051630524667573,-0.0023942690800642756
0.04,0.4955465588420887,-0.23174651675150135,-1.4461472385623524,-0.06351971101061563,-0.010762824333441747,-0.003660548770523877
0.05,0.49589442668480677,-0.231615726623023,-1.4459931668174828,-0.07267988800290644,-0.012234555717624943,-0.004812825790345187
0.06,0.49631155801620247,-0.231461581119993,-1.445821029029369,-0.08082898871912465,-0.013480757645485272,-0.005855772589883592
0.07,0.49678861900519733,-0.23128679878611957,-1.4456329580531597,-0.08802182125639539,-0.014516328127493575,-0.006795017941382812
0.08,0.4973169912296722,-0.2310939445872143,-1.4454309495971642,-0.09431593933647033,-0.015356815057438867,-0.007636916310819246
0.09,0.49788878616494703,-0.23088542209218363,-1.445216860532308,-0.09977032365628347,-0.01601813269140116,-0.008388361443946633
0.1,0.498496847389435,-0.23066346850407124,-1.4449924088257178,-0.10444429159428686,-0.016516315823036906,-0.00905661934111831
0.11,0.49913474271958225,-0.23043015219858468,-1.4447591748217832,-0.10839660556136502,-0.01686731067596288,-0.009649178933116101
0.12,0.49979674819034525,-0.23018737243626014,-1.4445186036566393,-0.1116847529089005,-0.017086799375820902,-0.010173611675444224
0.13,0.50047782553173,-0.22993686093882154,-1.4442720086002758,-0.11436437156014528,-0.017190052698587484,-0.010637485749043479
0.14,0.5011735945537712,-0.2296801850415165,-1.444020575177352,-0.11648880244474617,-0.017191809876443198,-0.011048254845238956
0.15,0.501880301653279,-0.22941875215413088,-1.4437653659549257,-0.11810875006984128,-0.01710618124620488,-0.011413179358913209
0.16,0.5025947854869446,-0.2291538152964344,-1.4435073259080469,-0.11927203735809569,-0.016946576384008455,-0.011739234724511112
0.17,0.503314440716198,-0.228886479479386,-1.4432472882682719,-0.12002343674118261,-0.01672564699466468,-0.012032988894432224
0.18,0.5040371805400804,-0.22861770871501302,-1.4429859804155538,-0.12040455892394261,-0.01645520913005434,-0.012300831157106744
0.19,0.5047613986432883,-0.22834833353108203,-1.442724029961886,-0.12045381885196436,-0.016146243357076463,-0.012548830999375626
0.2,0.5054859311512008,-0.22807905886440055,-1.4424619713723301,-0.1202064444495956,-0.0158088967808881,-0.012782584726422104
0.21,0.5062100190293626,-0.2278104721653471,-1.442200252843066,-0.11969451437262836,-0.015452469569785021,-0.013007153539267709
0.22,0.5069332712774577,-0.22754305158862043,-1.4419392432036524,-0.11894703328177209,-0.015085422914748955,-0.013227060788760897
0.23,0.5076556292126814,-0.22727717416969007,-1.44167923870629,-0.11799003053668385,-0.014715388948747521,-0.013446306512201158
0.24,0.5083773320694085,-0.22701312390915632,-1.4414204696567736,-0.11684667916448596,-0.014349187274598635,-0.013668393743663966
0.25,0.5090988840978653,-0.22675109969976476,-1.4411631068540682,-0.11553743081829876,-0.01399284802858759,-0.013896356205287558
0.26,0.509821023297496,-0.2264912230433907,-1.4409072678102377,-0.11408016095813864,-0.01365163684341997,-0.014132784286657108
0.27,0.5105446918914291,-0.22623354550664104,-1.4406530227485312,-0.1124903275110064,-0.013330094720038575,-0.014379845628072646
0.28,0.5112710086095908,-0.22597805587596437,-1.4404004003640047,-0.11078113035426593,-0.013032071604944635,-0.014639305640033282
0.29,0.5120012428108635,-0.22572468698680606,-1.440149393312092,-0.10896367451769357,-0.012760764320728823,-0.014912546777618501
0.3,0.5127367904582728,-0.2254733222013593,-1.4398999634126666,-0.10704713415388331,-0.012518756530634691,-0.015200588116559893
0.31,0.5134791519378877,-0.2252238015174845,-1.4396520465543081,-0.10503891510012059,-0.012308059430457742,-0.015504106131168479
0.32,0.5142299116936807,-0.2249759272977795,-1.4394055572852618,-0.10294481445037727,-0.01213015252693381,-0.015823456813082594
0.33,0.5149907196356994,-0.22472946961361268,-1.4391603930823853,-0.10076917575217613,-0.01198602385854898,-0.016158698078525706
0.34,0.515763274268345,-0.22448417120232822,-1.4389164382892918,-0.09851503964103658,-0.011876211242067376,-0.016509618039664067
0.35000000000000003,0.5165493074747113,-0.22423975203947533,-1.438673567722761,-0.09618428745695706,-0.011800840863228652,-0.016875758818524208
0.36,0.5173505708838455,-0.22399591353328363,-1.438431649952994,-0.09377777836965885,-0.011759665328527793,-0.01725644251739302
0.37,0.518168823743861,-0.2237523423506094,-1.4381905502620524,-0.09129547930032261,-0.01175210044825472,-0.017650797105178397
0.38,0.5190058222198802,-0.22350871388541993,-1.4379501332892666,-0.08873658729555016,-0.011777260633442244,-0.01805778183261661
0.39,0.5198633100329698,-0.22326469538233396,-1.4377102653748892,-0.08609964415301538,-0.011833992827966683,-0.018476211864785177
0.4,0.5207430103547963,-0.22301994872875186,-1.4374708166152144,-0.08338264316000812,-0.01192090866911859,-0.018904781895751586
0.41000000000000003,0.5216466188718684,-0.22277413293234077,-1.4372316626437227,-0.08058312794262264,-0.012036414888572045,-0.01934208855327456
0.42,0.5225757979336926,-0.2225269063006401,-1.4369926861539468,-0.07769828350309367,-0.012178742068925809,-0.01978665144678031
0.43,0.52353217170039,-0.22227792833848725,-1.4367537781805844,-0.07472501954793245,-0.012345971644880695,-0.020236932769418008
0.44,0.5245173222067578,-0.2220268613801416,-1.4365148391557898,-0.07166004633654226,-0.012536061061956125,-0.02069135542478427
0.45,0.5255327862624379,-0.2217733719739054,-1.4362757797575165,-0.0684999433082246,-0.01274686706335791,-0.02114831966971421
0.46,0.526580053110785,-0.22151713203738294,-1.4360365215665742,-0.0652412206813664,-0.012976167204102253,-0.021606218244932134
0.47000000000000003,0.5276605627712945,-0.2212578198005673,-1.43579699754914,-0.061880374348760925,-0.013221679659878692,-0.02206345002135306
0.48,0.5287757049939917,-0.22099512055330794,-1.4355571523810173,-0.058413934432029815,-0.013481081334399892,-0.02251843221852271
0.49,0.5299268187581028,-0.22072872721371295,-1.4353169426292296,-0.05483850779771665,-0.013752024319892215,-0.022969611234143504
0.5,0.5311151922506172,-0.22045834073352868,-1.4350763368060424,-0.05115081489897726,-0.014032150769101512,-0.02341547214891048
0.51,0.5323420632642445,-0.22018367035599123,-1.4348353153097664,-0.047347721671762204,-0.014319105635868402,-0.02385454715703145
0.52,0.5336086199617871,-0.21990443374710814,-1.434593870264107,-0.04342626611562231,-0.014610548572065226,-0.024285422630392826
0.53,0.5349160019504772,-0.2196203570084842,-1.4343520052706802,-0.03938367956348319,-0.014904165660011428,-0.024706744708175653
0.54,0.5362653016100735,-0.21933117457304568,-1.4341097350903145,-0.03521740444197418,-0.015197678624871754,-0.025117224210088128
0.55,0.5376575656367246,-0.2190366290086041,-1.4338670852607374,-0.0309251085099132,-0.015488852213622693,-0.02551564076750276
0.56,0.5390937967646594,-0.218736470747373,-1.4336240916592387,-0.026504695424200073,-0.015775500624853174,-0.025900845982621948
0.5700000000000001,0.5405749556265592,-0.2184304577505124,-1.433380800020421,-0.021954311882719305,-0.01605549328629513,-0.026271765735641273
0.58,0.5421019627157319,-0.21811835511452363,-1.4331372654189631,-0.017272351398359975,-0.016326760429684922,-0.026627401463972914
0.59,0.5436757004143131,-0.21779993462111005,-1.4328935517278922,-0.012457455975743131,-0.016587297010206337,-0.02696683098921396
0.6,0.5452970150645045,-0.2174749742468093,-1.4326497310572885,-0.0075085157219769855,-0.016835165343614556,-0.027289208875374667
0.61,0.5469667190601899,-0.21714325764519635,-1.4324058831787851,-0.0024246661973534034,-0.017068497344773476,-0.027593766128758062
0.62,0.5486855929345054,-0.21680457360556074,-1.4321620949429594,0.0027947159807694827,-0.017285496102006814,-0.02787980941606893
0.63,0.550454387424193,-0.2164587154946241,-1.4319184596949053,0.008150019045724974,-0.017484436825172645,-0.028146719858128357
0.64,0.5522738254940341,-0.21610548068750274,-1.4316750766926654,0.01364140327329072,-0.01766366723224383,-0.028393951452400173
0.65,0.554144604307043,-0.2157446699934873,-1.4314320505326432,0.019268809246323196,-0.017821607436245147,-0.028621029174560306
0.66,0.5560673971283087,-0.21537608708160522,-1.4311894905855922,0.02503196699706013,-0.01795674939100286,-0.02882754680552025
0.67,0.5580428551524235,-0.21499953791036122,-1.4309475104462794,0.030930405847660325,-0.01806765595087841,-0.02901316452764143
0.68,0.5600716092463196,-0.21461483016550983,-1.4307062273994746,0.036963464785293484,-0.01815295959607418,-0.029177606330160963
0.6900000000000001,0.5621542716010526,-0.21422177270920767,-1.4304657619044856,0.04313030322269276,-0.018211360871790514,-0.029320657261006678
0.7000000000000001,0.5642914372876427,-0.2138201750434215,-1.4302262371000753,0.04942991200986496,-0.018241626585905543,-0.029442160559239126
0.71,0.5664836857135052,-0.21340984679002856,-1.4299877783312347,0.055861124576440296,-0.018242587806407137,-0.029542014699120888
0.72,0.568731581977268,-0.21299059718964097,-1.4297505126989623,0.06242262783895983,-0.018213137221968243,-0.0296201705108126
0.73,0.5710356781235078,-0.21256223462555993,-1.4295145686325357,0.06911297302754463,-0.01815222635211877,-0.029676628273289422
0.74,0.5733965142974451,-0.2121245661744055,-1.4292800754847885,0.07593058714288398,-0.018058864106339424,-0.0297114343820714
0.75,0.5758146197925935,-0.21167739716998213,-1.4290471631548778,0.08287378420553079,-0.017932115319014848,-0.029724678014961755
0.76,0.5782905139927883,-0.211220530780673,-1.4288159617387721,0.08994077542278525,-0.017771097772984204,-0.029716488247143045
0.77,0.580824707218826,-0.21075376761553571,-1.4285866012031785,0.09712967900768377,-0.017574979180438335,-0.02968703121762853
0.78,0.5834177014826407,-0.21027690535958582,-1.4283592110825873,0.10443852988550983,-0.017342974659112716,-0.02963650721376835
0.79,0.5860699911496432,-0.20978973843338028,-1.4281339202004508,0.11186528898448753,-0.017074344223449434,-0.02956514782811831
0.8,0.5887820635129206,-0.20929205767681802,-1.4279108564139458,0.11940785208340624,-0.016768390305142218,-0.02947321319910883
0.81,0.5915543992833079,-0.2087836500569331,-1.4276901463816638,0.1270640581965749,-0.01642445531463578,-0.02936098934428058
0.8200000000000001,0.59438747299958,-0.20826429839934263,-1.4274719153534714,0.13483169748241658,-0.01604191925316562,-0.029228785594065082
0.8300000000000001,0.5972817533631811,-0.20773378114291718,-1.4272562869816943,0.1427085186679289,-0.01562019738267555,-0.029076932131930685
0.84,0.6002377035020243,-0.2071918721171692,-1.4270433831527238,0.15069223598549045,-0.015158737959224768,-0.028905777645914267
0.85,0.603255781167958,-0.20663834034179926,-1.4268333238380828,0.1587805356233791,-0.014657020033616297,-0.028715687095524214
0.86,0.6063364388725125,-0.20607294984780503,-1.4266262269639447,0.16697108169491082,-0.014114551320943605,-0.028507039594962598
0.87,0.6094801239655137,-0.20549545951954246,-1.4264222082981242,0.1752615217358598,-0.013530866126352153,-0.028280226359563742
0.88,0.612687278661117,-0.20490562295713338,-1.426221381353628,0.18364949175145856,-0.01290552330951333,-0.028035648645124124
0.89,0.6159583400158659,-0.20430318835854663,-1.4260238573071644,0.19213262073405324,-0.012238104499051713,-0.027773716535020754
0.9,0.6192937398630192,-0.20368789842077506,-1.4258297449316384,0.20070853485439616,-0.01152821216318085,-0.027494847033829935
0.91,0.6226939047071729,-0.2030594902596073,-1.4256391505420827,0.2093748612107646,-0.010775467801793285,-0.027199462523067496
0.92,0.6261592555832383,-0.20241769534744775,-1.4254521779537457,0.21812923118189498,-0.009979510199970204,-0.026887989356434744
0.93,0.6296902078837736,-0.20176223946865074,-1.4252689284504396,0.22696928332171984,-0.009139993913577997,-0.026560856952988453
0.9400000000000001,0.6332871711581833,-0.20109284269197986,-1.425089500763181,0.23589266607477377,-0.008256587396689902,-0.02621849614867274
0.9500000000000001,0.6369505488870751,-0.20040921935990313,-1.4249139910595758,0.24489704009438218,-0.007328971208676656,-0.02586133786596151
0.96,0.6406807382356021,-0.19971107809485572,-1.4247424929410932,0.25398008014543155,-0.006356836578998097,-0.025489812483185225
0.97,0.644478129788737,-0.19899812182182872,-1.4245750974468598,0.26313947679153016,-0.005339883956358787,-0.02510434894618254
0.98,0.6483431072712251,-0.1982700478059358,-1.4244118930639844,0.27237293775297483,-0.00427782148939472,-0.024705374001270757
0.99,0.6522760472555135,-0.19752654770569977,-1.4242529657432994,0.2816781890606457,-0.0031703634136381054,-0.024293311509370318
1.0,0.6562773188597122,-0.19676730764306255,-1.424098398919809,0.29105297597397045,-0.0020172284317576325,-0.023868581848700866
1.01,0.6603472834378225,-0.1959920082904179,-1.4239482735368518,0.30049506375191976,-0.0008181379064611596,-0.02343160153161873
1.02,0.6644862942650118,-0.19520032497435427,-1.4238026680734313,0.3100022380371679,0.0004271853964110256,-0.02298278258427626
1.03,0.6686946962195713,-0.19439192779511322,-1.4236616585746562,0.31957230516433377,0.001719018773253575,-0.022522532111463586
1.04,0.6729728254630261,-0.19356648176239757,-1.423525318684218,0.3292030924014127,0.0030576413631898114,-0.02205125208683241
1.05,0.6773210091203016,-0.1927236469484888,-1.4233937196780637,0.33889244798587975,0.004443335733636283,-0.021569339102530227
1.06,0.6817395649613958,-0.19186307865815966,-1.42326693049902,0.3486382410219084,0.005876389490746252,-0.021077184180093425
1.07,0.6862288010860127,-0.19098442761569046,-1.4231450177918408,0.3584383611305048,0.007357097170355743,-0.02057517270657807
1.08,0.690789015613711,-0.19008734017184403,-1.4230280459375158,0.36829071807254743,0.008885762063529347,-0.020063684384054318
1.09,0.6954204963799229,-0.18917145853019246,-1.4229160770867906,0.3781932414465862,0.010462697804956796,-0.01954309314035234
1.1,0.7001235206371859,-0.18823642099046947,-1.4228091711933764,0.3881438801231541,0.012088230221959172,-0.01901376717076045
1.11,0.7048983547643164,-0.1872818622115976,-1.4227073860456176,0.39814060151618147,0.013762699335061274,-0.01847606906381548
1.12,0.7097452539852547,-0.18630741349594693,-1.4226107772958603,0.40818139088164473,0.01548646127406781,-0.01793035591967116
1.1300000000000001,0.7146644620974052,-0.18531270309401965,-1.422519398487672,0.4182642505645102,0.017259890205611313,-0.017376979498527796
1.1400000000000001,0.7196562112100995,-0.1842973565297133,-1.4224333010806898,0.4283871991617095,0.019083380304471396,-0.016816286407654667
1.1500000000000001,0.7247207214941321,-0.18326099694666506,-1.4223525344726482,0.43854827056739654,0.020957347706280938,-0.016248618146260115
1.16,0.7298582009432807,-0.18220324547618355,-1.422277146018332,0.4487455130658679,0.02288223263911926,-0.01567431172262174
1.17,0.7350688451484236,-0.18112372162665055,-1.422207181045287,0.45897698830664474,0.02485850136793745,-0.01509369987537813
1.18,0.7403528370848355,-0.18002204369403346,-1.4221426828659978,0.46924077022686983,0.026886648099284816,-0.01450711130528601
1.19,0.7457103469132571,-0.1788978291931897,-1.4220836927863705,0.47953494393834295,0.028967196865426856,-0.013914871012430852
1.2,0.7511415317953449,-0.1777506953094932,-1.4220302501103612,0.48985760456192395,0.03110070333891357,-0.013317300658539786
1.21,0.756646535724139,-0.17658025937010727,-1.421982392140582,0.5002068560139982,0.033287756548067024,-0.01271471894857912
1.22,0.762225489370145,-0.17538613933393177,-1.4219401541747536,0.5105808097484344,0.035528980462058074,-0.012107442027224653
1.23,0.7678785099435881,-0.17416795429893955,-1.4219035694979063,0.5209775834448916,0.03782503542354977,-0.011495783893501038
1.24,0.773605701073486,-0.17292532502539343,-1.421872669370217,0.5313952996430549,0.040176619393603175,-0.010880056829559576
1.25,0.7794071527041977,-0.17165787447308029,-1.4218474830103844,0.5418320843271195,0.04258446896526079,-0.010260571840023498
