time,x,y,z,vx,vy,vz
0.0,0.49050349507230273,0.2930401047569918,-1.438655910723135,-0.007799810520589806,-0.0021463618557516564,-0.0005256385507115893
0.01,0.4903832588036412,0.29304549845963984,-1.4386175339712457,-0.005549139352667336,-0.004235951608874158,0.0012386732287147555
0.02,0.49021655173852186,0.2930822999789122,-1.4385879284132743,-0.004154089422403277,-0.006108281955628256,0.0026866113975364653
0.03,0.490012000607567,0.2931478671552786,-1.438564858279331,-0.0035734038592950736,-0.007769686771062942,0.0038345209407521313
0.04,0.48977802864485487,0.29323962136733717,-1.4385461810402402,-0.003755876929321925,-0.009228432687230195,0.004700576911167221
0.05,0.489522742446141,0.2933550675793534,-1.4385298751425575,-0.004643178975122779,-0.010494268158315171,0.005304129189629168
0.06,0.48925384760943313,0.2934918102067903,-1.438514059316622,-0.006172198418813269,-0.01157804682843476,0.005665189057441267
0.07,0.4889785883553709,0.29364756543249326,-1.4384970049132797,-0.008276969602129518,-0.0124914133451585,0.005804008360863784
0.08,0.48870370701668675,0.29382017048357517,-1.4384771425964673,-0.010890242748266422,-0.01324654678324473,0.005740713929861581
0.09,0.48843541987676276,0.29400759029586393,-1.4384530645123736,-0.013944762548852588,-0.013855937171384319,0.0054950384696517245
0.1,0.4881794063805637,0.29420792192877615,-1.438423522879665,-0.017374294555946183,-0.014332196371535917,0.005086105173465949
0.11,0.48794080918473337,0.2944193970397477,-1.4383874258362948,-0.02111443546843539,-0.014687899271609864,0.004532256677198672
0.12,0.48772424288125715,0.29464038268802867,-1.4383438312542143,-0.025103241122903186,-0.01493545099142156,0.003850915680691437
0.13,0.4875338095621059,0.2948693807016233,-1.4382919390781705,-0.02928170290011618,-0.015086974801048543,0.0030585209095584792
0.14,0.48737311967432906,0.2951050258199529,-1.4382310826645481,-0.03359409421583845,-0.015154219654073042,0.002170453695507245
0.15,0.48724531685579864,0.2953460828051149,-1.438160719521776,-0.03798821003861552,-0.015148483422430073,0.0012010060258405997
0.16,0.4871531056494476,0.2955914426845736,-1.4380804217849994,-0.04241551380778459,-0.015080555198124486,0.00016333573279289984
0.17,0.4870987811859259,0.29584011828976314,-1.4379898666744126,-0.046831207224533766,-0.014960666739880458,-0.0009303658378248258
0.18,0.48708426002284666,0.2960912392515883,-1.4378888267777419,-0.051194269949872265,-0.014798418470436127,-0.0020687835386290505
