step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
1,0.0020000000949949026,4.0531158447265625e-06,0.0,0.0,123.99607849121094,0.0,0.0,-1.96196711063385,inf
2,0.004000000189989805,0.007154941558837891,2.2199237348537182e-13,-2.7445969108530477e-11,123.98868560791016,-2.5907140321912436e-10,3.5422604849344452e-09,-3.667360782623291,398085.5479876161
3,0.006000000284984708,0.012773275375366211,1.788472798677776e-14,-8.155613337446077e-12,123.978271484375,-3.1512268489075623e-11,1.0158199614807017e-08,-5.142214298248291,165272.0205655527
4,0.00800000037997961,0.019295930862426758,-1.198033371726387e-13,1.0716379172936996e-11,123.96522521972656,3.9389616568463737e-11,5.277188686036993e-10,-6.414527416229248,95386.96735905045
5,0.010000000474974513,0.024857282638549805,3.696664556494117e-14,4.559351854394045e-11,123.94975280761719,-3.236935025574539e-11,-3.003811643864651e-09,-7.571643352508545,63528.47430830039
6,0.012000000569969416,0.03072333335876465,2.3145847218020155e-12,-2.898629669623176e-10,123.93205261230469,-2.1922217513514752e-11,2.1735657718124912e-09,-8.637775421142578,45965.78836987607
7,0.014000000664964318,0.03751063346862793,-5.3820155797301705e-12,2.1735935273881068e-10,123.91232299804688,4.863129343668504e-10,4.5513885993386793e-08,-9.61341667175293,35137.993805793405
8,0.01600000075995922,0.04367947578430176,-2.928589315498442e-11,3.848712015752653e-09,123.8907241821289,2.667734089190077e-11,6.0142455460265865e-09,-10.49673843383789,27934.31066695633
9,0.018000000854954123,0.11393237113952637,-4.8014061476697734e-11,1.1668022992239457e-08,123.86746215820312,-1.0056395820245978e-11,2.223923267763439e-09,-11.281394004821777,22882.00830466247
10,0.020000000949949026,0.12035560607910156,-3.3710475383363914e-11,2.387724151731163e-08,123.84272766113281,-9.13199745856963e-13,-7.432670035001365e-09,-11.96467113494873,19191.288358208956
11,0.02200000104494393,0.13035321235656738,3.9589564265751775e-11,4.0215102359297816e-08,123.81672668457031,-5.800453520277138e-11,5.681964676540474e-09,-12.544243812561035,16409.09035222052
12,0.02400000113993883,0.13657045364379883,1.8885115693478838e-10,6.02936225391204e-08,123.78968048095703,-1.0461530253191853e-10,-1.4440427742457018e-09,-13.020456314086914,14258.858389088085
13,0.026000001234933734,0.14319682121276855,4.2472847461283436e-10,8.359982928141108e-08,123.76177215576172,-3.888428468101779e-11,3.6765159805440817e-09,-13.397420883178711,12560.47982807463
14,0.028000001329928637,0.1488513946533203,7.493301534822194e-10,1.0960567209394867e-07,123.73321533203125,-6.523550449832882e-11,1.8137659152372976e-09,-13.677597045898438,11195.93939745748
15,0.03000000142492354,0.15503954887390137,1.1606205996272934e-09,1.3785486885353748e-07,123.70418548583984,-3.8170237803836216e-11,2.2325671866774144e-10,-13.867478370666504,10082.461538461537
16,0.03200000151991844,0.1619277000427246,1.6552124115776223e-09,1.6792218104910717e-07,123.67486572265625,-4.792217317417524e-11,4.03594002662544e-09,-13.972211837768555,9162.151346729372
17,0.034000001614913344,0.1882624626159668,2.2284054601584558e-09,1.9934483930228453e-07,123.6454086303711,-7.745523840363422e-12,3.892008937356195e-09,-13.998621940612793,8392.509105149795
18,0.03600000170990825,0.19363188743591309,2.8710280819410627e-09,2.3176789909484796e-07,123.61598205566406,-4.500974246091083e-12,1.182691633516697e-08,-13.952200889587402,7742.771898835809
19,0.03800000180490315,0.19928288459777832,3.5737528492063575e-09,2.6495288807382167e-07,123.58670806884766,-4.88928064701355e-11,2.643087748666062e-09,-13.840174674987793,7189.088022066086
20,0.04000000189989805,0.20532941818237305,4.330307667999023e-09,2.986614617839223e-07,123.55772399902344,-1.1482485795522024e-10,4.937813269378921e-09,-13.6673002243042,6713.744360902255
21,0.042000001994892955,0.21148920059204102,5.133034886029009e-09,3.3268793231400196e-07,123.52913665771484,-1.7470609681158322e-10,6.547381525834339e-10,-13.440025329589844,6302.7122199892165
22,0.04400000208988786,0.2163708209991455,5.975665740010072e-09,3.6684483006865776e-07,123.50105285644531,-1.400072002777364e-10,2.089207695732398e-09,-13.162607192993164,5945.146661734788
23,0.04600000218488276,0.22211766242980957,6.851228473436777e-09,4.008918210729462e-07,123.47357177734375,-7.42908304318668e-11,1.0153438090299005e-08,-12.83948040008545,5632.463510790526
24,0.04800000227987766,0.22830557823181152,7.75022357402122e-09,4.347175206476095e-07,123.44677734375,3.60119434272832e-10,4.87785705161059e-08,-12.47507381439209,5357.716825467374
25,0.050000002374872565,0.25946617126464844,8.664544637326799e-09,4.682658811816509e-07,123.4207534790039,-2.0797910615932835e-10,6.313375155997392e-09,-12.072997093200684,5115.369465183201
26,0.05200000246986747,0.2647998332977295,9.588227101176017e-09,5.013893087379984e-07,123.39556121826172,-2.0289217528279835e-10,1.0145734918864946e-08,-11.6365385055542,4900.774936158859
27,0.05400000256486237,0.27033019065856934,1.0514279225048995e-08,5.340627922123531e-07,123.37127685546875,-8.905420845195522e-11,1.617947908982842e-08,-11.167664527893066,4710.294966664224
28,0.05600000265985727,0.27649641036987305,1.1436523728036718e-08,5.662241164827719e-07,123.34795379638672,-2.0007151491086006e-10,1.2140644933822387e-08,-10.669604301452637,4540.792880601759
29,0.058000002754852176,0.28169679641723633,1.2349573808023706e-08,5.977551609248621e-07,123.32565307617188,-2.1432068619819944e-10,1.551599559945771e-08,-10.143482208251953,4389.750051209687
30,0.06000000284984708,0.2873868942260742,1.3247626107215638e-08,6.286538791755447e-07,123.30443572998047,-8.073213209058849e-10,9.239202114486034e-08,-9.591920852661133,4255.0868236721635
31,0.06200000294484198,0.29308271408081055,1.4127347292003378e-08,6.588365977222566e-07,123.28433990478516,-8.25829266082323e-11,2.773476026618482e-08,-9.01767349243164,4134.945127506994
32,0.06400000303983688,0.29828763008117676,1.498431423385682e-08,6.88268471549236e-07,123.26541137695312,-3.033281126274545e-10,1.9652555138804928e-08,-8.421998977661133,4027.825999791166
33,0.06600000313483179,0.3280453681945801,1.5816349119290862e-08,7.16985027793271e-07,123.24769592285156,-2.5934915326430996e-10,1.9961840180826584e-08,-7.806497097015381,3932.4806915956447
34,0.06800000322982669,0.33331799507141113,1.6623449283770242e-08,7.450412908838189e-07,123.23123168945312,-2.2866476767635646e-10,2.4866073644602693e-08,-7.172572135925293,3847.829386533666
35,0.07000000332482159,0.33987855911254883,1.740857236143256e-08,7.723549515503692e-07,123.21604919433594,-3.080561361556988e-10,1.668544769017899e-08,-6.5211591720581055,3772.9352112676056
36,0.0720000034198165,0.3457355499267578,1.816997396986153e-08,7.988959964677633e-07,123.20218658447266,-6.225950310856376e-10,4.570555489635808e-08,-5.851530075073242,3707.0537878278255
37,0.0740000035148114,0.3505244255065918,1.8904040999245808e-08,8.246423703894834e-07,123.18968200683594,-2.0926739507931558e-10,1.825195461435669e-08,-5.150373458862305,3649.569482288828
38,0.0760000036098063,0.3566734790802002,1.960927953348346e-08,8.495311476508505e-07,123.1788330078125,-4.2312342518613377e-10,1.9612071966434996e-08,-4.305459499359131,3601.121156108217
39,0.0780000037048012,0.3639342784881592,2.0282302060081747e-08,8.735958658689924e-07,123.16985321044922,-1.874808919222204e-10,4.1755228608053585e-08,-3.3553614616394043,3561.9825107345673
40,0.0800000037997961,0.36977148056030273,2.0919161514143525e-08,8.968899578576384e-07,123.16291046142578,-4.139431020178108e-10,3.509575208227034e-08,-2.332261800765991,3532.3006822031957
41,0.08200000389479101,0.3902394771575928,2.1518822279631422e-08,9.193856271849654e-07,123.15809631347656,-4.87800855264453e-10,2.017634415096836e-08,-1.2642825841903687,3512.0078662733526
42,0.08400000398978591,0.39614343643188477,2.2080076433894646e-08,9.411284054294811e-07,123.15547943115234,-3.8312275574270416e-10,2.2006469535540418e-08,-0.17222489416599274,3501.0745786402126
43,0.08600000408478081,0.4008333683013916,2.260513909391193e-08,9.620054015613277e-07,123.15506744384766,-4.1922634808067016e-10,2.9203198081972914e-08,0.925257682800293,3499.3595021454557
44,0.08800000417977571,0.40635204315185547,2.3091750733783556e-08,9.819999604587792e-07,123.1568603515625,-3.429754813488728e-10,3.227764366897645e-08,2.0144550800323486,3506.8355424644083
45,0.09000000427477062,0.4117743968963623,2.353562855716973e-08,1.0011206086346647e-06,123.16082763671875,-4.648274265495189e-10,2.8316931022231984e-08,3.08451247215271,3523.492354628327
