step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
1,0.0020000000949949026,4.291534423828125e-06,0.0,0.0,123.99607849121094,0.0,0.0,-1.9619643688201904,inf
2,0.004000000189989805,0.0059053897857666016,1.0387418464437304e-13,-1.2921584809089115e-11,123.98847961425781,-1.237702440537447e-10,1.693297835281271e-09,-3.7761051654815674,1032784.1927710843
3,0.006000000284984708,0.010946035385131836,3.783994330982393e-15,-3.412244445333279e-12,123.97747802734375,-1.513299208166785e-11,4.855308155526927e-09,-5.446526050567627,421924.9614438064
4,0.00800000037997961,0.016247034072875977,-6.304439121359445e-14,5.663613675266355e-12,123.96333312988281,1.879993036246752e-11,2.528266485057884e-10,-6.981159687042236,239667.5340167754
5,0.010000000474974513,0.02199578285217285,-5.040672740319607e-15,2.3641855834144465e-11,123.94621276855469,-1.547572486826354e-11,-1.4331816844403988e-09,-8.426201820373535,157382.65850673197
6,0.012000000569969416,0.026957988739013672,1.103630750155793e-12,-1.3724806013915014e-10,123.92627716064453,-1.0425224052090787e-11,1.0463334643162625e-09,-9.793643951416016,112433.3868182315
7,0.014000000664964318,0.032041072845458984,-2.500325033821804e-12,9.092276931355059e-11,123.9036865234375,2.318923664201833e-10,2.1700055086171233e-08,-11.083418846130371,84942.44888521882
8,0.01600000075995922,0.03657960891723633,-1.4394341621426499e-11,1.8628296682976497e-09,123.87860107421875,1.2869330601184004e-11,2.886256567080636e-09,-12.29315185546875,66804.32887387973
9,0.018000000854954123,0.0716102123260498,-2.4769415685188534e-11,5.822234250274505e-09,123.8511734008789,-5.0158128518662526e-12,1.1020814261186729e-09,-13.419713973999023,54159.58805875849
10,0.020000000949949026,0.07721090316772461,-1.9574940626765347e-11,1.2199045329452929e-08,123.82158660888672,1.969520466854613e-12,-3.7102094729846158e-09,-14.459944725036621,44976.30431550872
11,0.02200000104494393,0.08321905136108398,1.5317492066402316e-11,2.0972247938289e-08,123.79000091552734,-2.936760210014988e-11,2.7616513520456465e-09,-15.412781715393066,38082.74614046129
12,0.02400000113993883,0.08801627159118652,9.026240865850355e-11,3.2025432972204726e-08,123.75659942626953,-4.8055514428879675e-11,-1.4970358286348073e-09,-16.276264190673828,32771.13179776355
13,0.026000001234933734,0.0932149887084961,2.1270336880707674e-10,4.5154052941143163e-08,123.72156524658203,-1.997924048424693e-11,3.627882438905772e-10,-17.051239013671875,28588.784525166062
14,0.028000001329928637,0.09839367866516113,3.8581499106626893e-10,6.011880060441399e-08,123.68506622314453,-5.033418126743072e-11,-2.5323004804178595e-10,-17.7391414642334,25233.73128909604
15,0.03000000142492354,0.1038358211517334,6.102646166183945e-10,7.670124091418984e-08,123.64727783203125,-4.460023669827784e-11,2.655082598224112e-09,-18.341798782348633,22499.957478454875
16,0.03200000151991844,0.10843157768249512,8.858880851114748e-10,9.467736106216762e-08,123.60836791992188,-1.501895829925104e-12,6.085549397738532e-09,-18.861541748046875,20241.90357747255
17,0.034000001614913344,0.12503838539123535,1.2111465164110768e-09,1.1381695230738842e-07,123.56849670410156,-2.4012573179854613e-11,2.727905235033745e-09,-19.30181884765625,18354.38327028763
18,0.03600000170990825,0.13019084930419922,1.5828816035678983e-09,1.338912340997922e-07,123.52782440185547,-3.567660403214212e-11,3.115695701438881e-09,-19.665925979614258,16760.131258655805
19,0.03800000180490315,0.13492751121520996,1.9960442187993976e-09,1.5474174119844974e-07,123.48650360107422,1.0254942728327165e-11,1.0039792996963115e-08,-19.957256317138672,15401.072839154978
20,0.04000000189989805,0.1395277976989746,2.446481683904267e-09,1.7621181314098067e-07,123.44466400146484,1.4078857871191452e-11,-1.1450276282687355e-09,-20.179534912109375,14232.48780352819
21,0.042000001994892955,0.1447761058807373,2.929275044749602e-09,1.9815473706330522e-07,123.40245056152344,-5.942674824455096e-11,5.503291600206239e-09,-20.335796356201172,13220.402220851327
22,0.04400000208988786,0.14989829063415527,3.440187690273433e-09,2.2048007508601586e-07,123.3599853515625,-1.0484901835638993e-10,8.035465626221594e-09,-20.42936134338379,12337.815817880875
23,0.04600000218488276,0.15467286109924316,3.975957341140202e-09,2.430882943826873e-07,123.31739044189453,-1.5996819147101604e-10,2.0168979375512208e-08,-20.46253776550293,11563.48635857774
24,0.04800000227987766,0.15927457809448242,4.53228299335251e-09,2.6586661761029973e-07,123.27478790283203,-1.2761425249863123e-10,6.483467984708113e-09,-20.437448501586914,10880.496884949387
25,0.050000002374872565,0.1767117977142334,5.1050137450658895e-09,2.8875410862383433e-07,123.23229217529297,-6.483884956720587e-11,8.981227317406137e-09,-20.356807708740234,10275.125171060123
26,0.05200000246986747,0.18183231353759766,5.691362048310111e-09,3.1166564440354705e-07,123.19001770019531,-1.7342285940635804e-10,1.885490430453274e-09,-20.221832275390625,9736.238367470565
27,0.05400000256486237,0.18683123588562012,6.28891516640806e-09,3.345355992223631e-07,123.14806365966797,-8.588613847893001e-11,7.123207357295769e-09,-20.035306930541992,9254.555118712382
28,0.05600000265985727,0.19175243377685547,6.8955325893682584e-09,3.57310852905357e-07,123.10653686523438,-3.669357595548206e-10,3.643815560394614e-08,-19.797847747802734,8822.52136473575
29,0.058000002754852176,0.19681286811828613,7.509451727116812e-09,3.799096361944976e-07,123.0655288696289,-1.2928946802048813e-10,8.267610596135455e-09,-19.511425018310547,8433.725422033467
30,0.06000000284984708,0.20139002799987793,8.128782980065807e-09,4.022711550533131e-07,123.025146484375,-1.3332726589432298e-10,7.372451982234907e-09,-19.176448822021484,8082.955289088652
31,0.06200000294484198,0.20601272583007812,8.750240532151565e-09,4.2432026248206967e-07,122.9854736328125,-1.3307098478687607e-10,9.977570769592603e-09,-18.79500961303711,7765.646419350455
32,0.06400000303983688,0.21161198616027832,9.36904243076242e-09,4.4600653836823767e-07,122.94661712646484,-1.4612538956626508e-10,8.668061823868811e-09,-18.36717414855957,7478.121885791139
33,0.06600000313483179,0.22764182090759277,9.98086591152969e-09,4.6731466341043415e-07,122.90866088867188,-1.749900224723433e-10,9.765948050244333e-09,-17.895267486572266,7217.098547674174
34,0.06800000322982669,0.23265838623046875,1.0583292464616534e-08,4.882016924057098e-07,122.87168884277344,-1.7787706030336636e-10,1.0214943557684819e-08,-17.380512237548828,6979.786776680057
35,0.07000000332482159,0.2375800609588623,1.1174205560848804e-08,5.086729970571469e-07,122.83578491210938,-1.8442521121375677e-10,1.1130429911077044e-08,-16.823822021484375,6763.805420759854
36,0.0720000034198165,0.2432689666748047,1.1752301354306383e-08,5.287021735966846e-07,122.80104064941406,-1.7457596479530935e-10,1.3502065243642392e-08,-16.226064682006836,6567.156056079062
37,0.0740000035148114,0.2488551139831543,1.2315839903465076e-08,5.482703500092612e-07,122.76753234863281,-1.6407267211526744e-10,1.631071810948015e-08,-15.589789390563965,6388.038452939862
38,0.0760000036098063,0.25404834747314453,1.2864379783650293e-08,5.673402370121039e-07,122.7353286743164,-1.6732754071213662e-10,1.5879139780849982e-08,-14.916607856750488,6224.867055171288
39,0.0780000037048012,0.2618277072906494,1.3396307174673439e-08,5.859054112988815e-07,122.70451354980469,-2.1564353080982812e-10,1.6019603421568718e-08,-14.208020210266113,6076.34951089268
40,0.0800000037997961,0.26804542541503906,1.390822479407916e-08,6.039723530193442e-07,122.67514038085938,-2.598990744839824e-10,1.7361228898948866e-08,-13.466838836669922,5941.232173179776
41,0.08200000389479101,0.2846214771270752,1.4396860592569283e-08,6.21508320364228e-07,122.64728546142578,-2.422954892278284e-10,1.5161145228148598e-08,-12.694718360900879,5818.535406614665
42,0.08400000398978591,0.28997325897216797,1.4858405172901712e-08,6.385001256603573e-07,122.6209945678711,-2.7529536983372793e-10,1.4227278910539098e-08,-11.89448070526123,5707.288018420395
43,0.08600000408478081,0.29480814933776855,1.5289963073428225e-08,6.549380486831069e-07,122.5963363647461,-2.993569836462484e-10,1.848398945014651e-08,-11.067866325378418,5606.747022625323
