step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
24,0.04800000227987766,0.20820403099060059,6.029356125480945e-09,3.475369965144637e-07,123.36483001708984,-1.499006335725639e-10,5.537605485272934e-09,-16.105030059814453,7770.315812373851
25,0.050000002374872565,0.22834253311157227,6.768270388590736e-09,3.7604027625093295e-07,123.331298828125,-7.769534321466764e-11,6.519118578296457e-09,-15.827462196350098,7378.38455711892
26,0.05200000246986747,0.23345375061035156,7.52314033292123e-09,4.0437467418996675e-07,123.2983627319336,-9.09057482068043e-11,7.210384289635385e-09,-15.505106925964355,7030.083432657927
27,0.05400000256486237,0.2382495403289795,8.290484743156412e-09,4.324484734752332e-07,123.26612091064453,-6.199699087439114e-11,1.0911692882586976e-08,-15.139409065246582,6719.568548344953
28,0.05600000265985727,0.24438738822937012,9.067975703658249e-09,4.6020446120564884e-07,123.23464965820312,-1.0908490777339352e-10,1.2253239312087771e-08,-14.732908248901367,6441.836436143565
29,0.058000002754852176,0.24947690963745117,9.851993887366461e-09,4.875736863141356e-07,123.20402526855469,-1.7202610169686494e-10,8.164497522500369e-09,-14.287647247314453,6192.7656623256535
30,0.06000000284984708,0.2545158863067627,1.0637787539735655e-08,5.145411705598235e-07,123.17433166503906,-2.098176354881076e-10,5.31023802707864e-09,-13.804848670959473,5968.991718349613
31,0.06200000294484198,0.26092028617858887,1.14214735447149e-08,5.410761332313996e-07,123.14563751220703,-1.920158615442702e-10,8.400766304816898e-09,-13.28659439086914,5767.59601324135
32,0.06400000303983688,0.2662949562072754,1.2198689169906629e-08,5.670900122822786e-07,123.11801147460938,-1.4164683315165405e-10,1.7002825813960953e-08,-12.734145164489746,5586.133982100964
33,0.06600000313483179,0.2848966121673584,1.2964472162479979e-08,5.925840014242567e-07,123.0915298461914,-2.0685084201055304e-10,1.2715624109205237e-08,-12.149237632751465,5422.593938984995
34,0.06800000322982669,0.2904655933380127,1.3714474000892096e-08,6.17513535416947e-07,123.06623840332031,-2.466090109898289e-10,1.315257591727459e-08,-11.534530639648438,5275.100594046408
