time,x,y,z,vx,vy,vz
0.0,0.060302557087225234,-0.2479423638924214,-1.5011422781314017,0.032712638819897666,0.005652590262112492,0.004189181881536441
0.01,0.06019894426078128,-0.24792384145267413,-1.5011082407773593,0.07506604397998087,0.008685990349441002,0.006896743086110879
0.02,0.0596576131030013,-0.24794574716069823,-1.5011034023145555,0.1111613556785867,0.011213212132951022,0.009142043284042386
0.03,0.05874108371353482,-0.2480027710530519,-1.5011227391605533,0.14125822867621587,0.013265367379232076,0.010910621342611327
0.04,0.05750946668751507,-0.24808989654564906,-1.5011611915625145,0.16568907495333468,0.01487863297592041,0.01221428086351452
0.05,0.056019715699038075,-0.2482024552134194,-1.5012139033709544,0.1848360521990595,0.01609126570697609,0.013084489869550495
0.06,0.05432511281970574,-0.24833615110392496,-1.5012763926200994,0.1991125930293242,0.016941777704495672,0.013566070059541455
0.07,0.052474941299216524,-0.24848706608104468,-1.5013446617317372,0.20894876834709997,0.01746783712894709,0.013711607933613815
0.08,0.05051430720144476,-0.24865165349018928,-1.501415257388277,0.21477981165405646,0.01770561554726848,0.013576824393309088
0.09,0.0484840778328199,-0.24882672473188222,-1.5014852902134788,0.21703721744810503,0.017689409011405283,0.013216976071193926
0.1,0.04642091073760377,-0.2490094316262652,-1.5015524237887319,0.21614192165878487,0.01745142762675685,0.012684239514273297
0.11,0.04435735198289361,-0.24919724638571406,-1.5016148415241357,0.21249918202111165,0.01702169164273558,0.012025984261341067
0.12,0.04232198653299566,-0.2493879403579124,-1.5016711987059137,0.20649481064854752,0.01642799498995199,0.011283752560093452
0.13,0.04033962682761121,-0.2495795622958186,-1.5017205657933763,0.1984925173965126,0.01569591469744392,0.010492816577035241
0.14,0.03843152836119379,-0.24977041664645833,-1.5017623678354854,0.1888321503652736,0.014848852931460961,0.009682130258493911
0.15,0.03661562323221385,-0.24995904216189552,-1.5017963237992338,0.1778287026025483,0.013908107307545572,0.008874450758532335
0.16,0.03490676436327569,-0.2501441912279787,-1.501822388348716,0.16577173870827677,0.012892918694714085,0.0080879354475819
0.17,0.0333169745509541,-0.25032481002949425,-1.501840698058095,0.15292532643947193,0.011820578754089987,0.007335847308911264
0.18,0.03185569571985387,-0.25050001936507055,-1.501851523705544,0.139528649934776,0.010706559100283286,0.006626339807138596
0.19,0.030530034662386463,-0.2506690963284545,-1.5018552290780445,0.125796670734238,0.009564605134573441,0.005963677597600466
0.2,0.029345002326847863,-0.25083145709335675,-1.5018522361628464,0.11192097720390176,0.00840683711135478,0.005349296512785981
0.21,0.028303744410053906,-0.2509866407927278,-1.5018429966102467,0.09807080737931884,0.007243860331458833,0.0047826355821708084
0.22,0.027407761564326255,-0.2511342945009958,-1.5018279691327814,0.08439420652199311,0.00608487535043152,0.004261765316713692
0.23,0.026657117985968443,-0.2512741592697043,-1.5018076023362883,0.07101928134030094,0.004937782446524482,0.003783852382730935
0.24,0.026050637532660514,-0.25140605713779557,-1.5017823223680091,0.05805551609778513,0.0038092903351535125,0.003345504249267725
0.25,0.02558608683474814,-0.2515298791584026,-1.5017525247084085,0.04559512053600523,0.0027050245921368676,0.0029430299435799084
0.26,0.02526034512608902,-0.2516455744507675,-1.5017185694194994,0.03371438490656829,0.001629628705939328,0.002572642081355057
0.27,0.025069560736301982,-0.25175314021867345,-1.5016807791812221,0.02247502395949064,0.0005868603840777746,0.0022306195602524496
0.28,0.025009294364509903,-0.25185261270179776,-1.5016394394943682,0.011925490696639656,-0.000420317264982973,0.0019134295358959092
0.29,0.02507464939270824,-0.2519440590236013,-1.50159480049542,0.002102246487077091,-0.001389649871248056,0.0016178078856477602
0.3,0.025260389608127775,-0.25202756989175823,-1.5015470798914925,-0.006969010048074171,-0.0023195106550475,0.0013408307518085827
0.31,0.025561044794951106,-0.252103253102693,-1.501496466597215,-0.015272171850184764,-0.0032088245219765383,0.0010799514888972955
0.32,0.025971004727309028,-0.25217122780153756,-1.501443124736354,-0.02279961014754248,-0.004056997144797714,0.0008330117528858394
0.33,0.026484602148542067,-0.2522316194476748,-1.5013871977350983,-0.029551128760765207,-0.004863849188427882,0.0005982380620354519
0.34,0.027096185357484218,-0.2522845554357007,-1.5013288122956292,-0.035532981939186276,-0.005629555364105335,0.00037422173882993874
0.35000000000000003,0.027800181046531994,-0.25233016132152686,-1.5012680820971307,-0.040756958709941525,-0.006354588321427616,0.0001598871363178273
0.36,0.028591148049032514,-0.2523685576047284,-1.5012051111195857,-0.04523953298632777,-0.00703966720713826,-4.554898691181038e-05
0.37,0.029463822657397575,-0.2523998570199886,-1.5011399965270495,-0.04900108179694271,-0.007685710842726663,-0.0002426198391779627
0.38,0.030413156169839348,-0.2524241622924405,-1.5010728310810775,-0.0520651683998627,-0.008293795277058924,-0.0004316528463106169
0.39,0.03143434531403197,-0.252441564313031,-1.501003705080595,-0.05445788724552894,-0.008865115486858133,-0.0006128154071995094
0.4,0.032522856180691694,-0.25245214069225497,-1.5009327078455919,-0.05620727146079754,-0.009400951122223476,-0.0007861568806015935
0.41000000000000003,0.03367444228043301,-0.2524559546530579,-1.500859928777793,-0.05734275959869237,-0.00990263604970086,-0.0009516468070594926
0.42,0.03488515731434527,-0.25245305422586234,-1.5007854580414473,-0.05789471925908622,-0.010371531494328606,-0.0011092103784314453
0.43,0.03615136322308955,-0.2524434717106947,-1.5007093869137331,-0.05789402428223749,-0.010809002490010922,-0.0012587557852265004
0.44,0.03746973405155828,-0.25242722337346296,-1.5006318078573186,-0.0573716827034647,-0.011216397426004469,-0.001400194463866767
0.45,0.038837256136602605,-0.2524043093463333,-1.5005528143676699,-0.056358513220213284,-0.011595029962928532,-0.0015334622622678986
0.46,0.04025122509501043,-0.25237471371032294,-1.5004725006458823,-0.054884866159926486,-0.011946164195438778,-0.0016585331038878378
0.47000000000000003,0.04170924005782824,-0.25233840472793384,-1.500390961144647,-0.05298038608713148,-0.012271003475264237,-0.0017754282844026316
0.48,0.043209195565701,-0.25229533518991154,-1.500308290030527,-0.05067381298154792,-0.012570678022090158,-0.001884221914687803
0.49,0.044749271509293496,-0.25224544288887124,-1.500224580600417,-0.047992818828972036,-0.012846236224931426,-0.001985043016305769
0.5,0.04632792146735091,-0.2521886511834419,-1.500139924684913,-0.04496387654947129,-0.013098642899476268,-0.002078074799234151
0.51,0.04794385976428037,-0.2521248695838614,-1.5000544120659822,-0.041612158437016857,-0.013328774688559829,-0.002163551702288167
0.52,0.049596047540955306,-0.25205399438802617,-1.4999681299305552,-0.0379614612306694,-0.013537414717590944,-0.0022417546912695844
0.53,0.0512836781037229,-0.2519759093758285,-1.4998811623767405,-0.03403415502209883,-0.013725250859461103,-0.0023130052615717134
0.54,0.053006161788718094,-0.2518904865260193,-1.4997935899849621,-0.029851153417295467,-0.013892875106175148,-0.0023776585772635026
